&{1 0 0xc000004378} , 0 , 0 , illegal king move
&{1 0 0xc000004378} , 0 , 1 , illegal king move
&{1 0 0xc000004378} , 0 , 2 , illegal king move
&{1 0 0xc000004378} , 0 , 3 , illegal king move
&{1 0 0xc000004378} , 0 , 4 , illegal king move
&{1 0 0xc000004378} , 0 , 5 , illegal king move
&{1 0 0xc000004378} , 0 , 6 , illegal king move
&{1 0 0xc000004378} , 0 , 7 , illegal king move
&{1 0 0xc000004378} , 1 , 0 , illegal king move
&{1 0 0xc000004378} , 1 , 1 , illegal king move
&{1 0 0xc000004378} , 1 , 2 , illegal king move
&{1 0 0xc000004378} , 1 , 3 , illegal king move
&{1 0 0xc000004378} , 1 , 4 , illegal king move
&{1 0 0xc000004378} , 1 , 5 , illegal king move
&{1 0 0xc000004378} , 1 , 6 , illegal king move
&{1 0 0xc000004378} , 1 , 7 , illegal king move
&{1 0 0xc000004378} , 2 , 0 , illegal king move
&{1 0 0xc000004378} , 2 , 1 , illegal king move
&{1 0 0xc000004378} , 2 , 2 , illegal king move
&{1 0 0xc000004378} , 2 , 3 , illegal king move
&{1 0 0xc000004378} , 2 , 4 , illegal king move
&{1 0 0xc000004378} , 2 , 5 , illegal king move
&{1 0 0xc000004378} , 2 , 6 , illegal king move
&{1 0 0xc000004378} , 2 , 7 , illegal king move
&{1 0 0xc000004378} , 3 , 0 , square occupied by an ally piece
&{1 0 0xc000004378} , 3 , 1 , square occupied by an ally piece
&{1 0 0xc000004378} , 3 , 2 , illegal king move
&{1 0 0xc000004378} , 3 , 3 , illegal king move
&{1 0 0xc000004378} , 3 , 4 , illegal king move
&{1 0 0xc000004378} , 3 , 5 , illegal king move
&{1 0 0xc000004378} , 3 , 6 , illegal king move
&{1 0 0xc000004378} , 3 , 7 , illegal king move
&{1 0 0xc000004378} , 4 , 1 , king left in check
&{1 0 0xc000004378} , 4 , 2 , illegal king move
&{1 0 0xc000004378} , 4 , 3 , illegal king move
&{1 0 0xc000004378} , 4 , 4 , illegal king move
&{1 0 0xc000004378} , 4 , 5 , illegal king move
&{1 0 0xc000004378} , 4 , 6 , illegal king move
&{1 0 0xc000004378} , 4 , 7 , illegal king move
